Title_ID,Title,Type,Category,Date_Added,Rating,Description
tid725,The Creative Brain,Movie,Documentaries,2021-01-01,TV-14,"Neuroscientist David Eagleman taps into the creative process of various innovators while exploring brain-bending, risk-taking ways to spark creativity."
tid726,Unknown,Movie,"Action & Adventure, Thrillers",2021-01-01,PG-13,"Liam Neeson stars as a man who regains consciousness after a car accident, only to discover that another man is impersonating him."
tid727,What Happened to Mr. Cha?,Movie,"Comedies, International Movies",2021-01-01,TV-MA,"With the peak of his career long behind him, an actor clings to his past glory — until a sudden wake-up call forces him to face who he's become."
tid728,What's Eating Gilbert Grape,Movie,"Classic Movies, Dramas, Independent Movies",2021-01-01,PG-13,"In a backwater Iowa town, young Gilbert is torn between taking care of his troubled family and a girl who shows him new possibilities for his life."
tid729,Alaska Is a Drag,Movie,"Dramas, LGBTQ Movies",2020-12-31,TV-MA,"Tormented by bullies, an aspiring drag star working at an Alaskan cannery becomes a skilled fighter and is tapped for competition by a boxing coach."
tid730,Bobby Jasoos,Movie,"Comedies, Dramas, International Movies",2020-12-31,TV-14,"With unlimited determination and zero field experience, a small-town detective accepts a lucrative case from a mysterious – and suspicious – stranger."
tid731,Tarung Sarung,Movie,"Action & Adventure, Dramas, Faith & Spirituality",2020-12-31,TV-PG,"Wealthy and spoiled, a young man finds something to fight for when he falls in love with an environmental activist protesting his family's business."
tid732,Too Handsome to Handle,Movie,"Comedies, Dramas, International Movies",2020-12-31,TV-14,"Wary of the effects of his good looks on others, a shut-in agrees to attend high school for the first time and meets a girl who's immune to his charm."
tid733,The Rope Curse 2,Movie,"Horror Movies, International Movies",2020-12-30,TV-MA,"After a purification ritual unravels, a conflicted Taoist priest attempts to help a lonely young psychic whose aunt is possessed by a powerful demon."
tid734,Cops and Robbers,Movie,Dramas,2020-12-28,PG-13,Animation and activism unite in this multimedia spoken-word response to police brutality and racial injustice.
tid735,Rango,Movie,"Children & Family Movies, Comedies",2020-12-28,PG,"When he becomes lost in the desert, pet chameleon Rango pretends he's a tough guy and ends up sheriff of a corrupt and violent frontier town."
